,Road category,Road organized by,Road type,2012,2013,2014,2015,2016,2017,2018
0,District roads,District roads,Surfaced B.T/C.C,,,,,2462.0,2462.0,2462.0
1,District roads,District roads,Surfaced W.B.M,,,,,0.0,0.0,0.0
2,National highways,National highways,Four Lane & above,80.0,80.0,80.0,80.0,80.0,69.0,76.0
3,National highways,National highways,Less than 2 Lane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,National highways,National highways,Two Lane,0.0,0.0,0.0,0.0,0.0,0.0,7.0
5,Project roads,Border roads organization,Surfaced B.T/C.C,,,,,,0.0,
6,Project roads,Border roads organization,Surfaced W.B.M,,,,,,0.0,
7,Project roads,Coal Mine roads,Surfaced B.T/C.C,,,,,,,
8,Project roads,Coal Mine roads,Surfaced W.B.M,,,,,,,
9,Project roads,Electricity Department roads,Surfaced B.T/C.C,,,,,,51.0,51.0
10,Project roads,Electricity Department roads,Surfaced W.B.M,,,,,,1.0,1.0
11,Project roads,Forest Department roads,Surfaced B.T/C.C,,,,,,,0.0
12,Project roads,Forest Department roads,Surfaced W.B.M,,,,,,,0.0
13,Project roads,Irrigation Department roads,Surfaced B.T/C.C,,,,,,,
14,Project roads,Irrigation Department roads,Surfaced W.B.M,,,,,,,
15,Project roads,SAIL & NMDC roads,Surfaced B.T/C.C,,,,,,,
16,Project roads,SAIL & NMDC roads,Surfaced W.B.M,,,,,,,
17,Project roads,Sugarcane Department roads,Surfaced B.T/C.C,,,,,,,
18,Project roads,Sugarcane Department roads,Surfaced W.B.M,,,,,,,
19,Rural roads,Panchayati Raj roads,Surfaced B.T/C.C,,,,,,,
20,Rural roads,Panchayati Raj roads,Surfaced W.B.M,,,,,,,
21,Rural roads,PMGSY roads,Surfaced B.T/C.C,,,,,0.0,0.0,0.0
22,Rural roads,PMGSY roads,Surfaced W.B.M,,,,,0.0,0.0,0.0
23,Rural roads,PWD/RWD roads,Surfaced B.T/C.C,,,,,,,
24,Rural roads,PWD/RWD roads,Surfaced W.B.M,,,,,,,
25,State highways,State highways,Surfaced B.T/C.C,,,,,0.0,0.0,
26,State highways,State highways,Surfaced W.B.M,,,,,0.0,0.0,
27,Urban roads,Engineering Service roads,Surfaced B.T/C.C,742.0,742.0,742.0,756.0,475.0,738.0,451.0
28,Urban roads,Engineering Service roads,Surfaced W.B.M,0.0,0.0,0.0,0.0,96.0,2.0,0.0
29,Urban roads,Municipal roads,Surfaced B.T/C.C,19890.0,19890.0,19890.0,19890.0,14317.0,14336.0,14336.0
30,Urban roads,Municipal roads,Surfaced W.B.M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Urban roads,Railway roads,Surfaced B.T/C.C,180.0,180.0,181.0,181.0,181.0,159.0,162.0
32,Urban roads,Railway roads,Surfaced W.B.M,12.0,12.0,12.0,12.0,12.0,64.0,63.0
