State,TotalTimeAccidents,TotalMonthAccidents
Agra,553,553
Ahmedabad,1767,1767
Amritsar,147,147
Andaman and Nicobar Islands,25,25
Andhra Pradesh,19949,19949
Arunachal Pradesh,233,233
Asansol,401,401
Assam,7421,7421
Aurangabad,560,560
Bengaluru,4980,4980
Bhopal,2906,2906
Bihar,11014,11014
Chandigarh,182,182
Chandigarh (City),182,182
Chennai,3653,3653
Chhattisgarh,13469,13469
Coimbatore,1161,1161
Dadra and Nagar Haveli and Daman and Diu,183,183
Delhi,5715,5715
Delhi (City),5715,5715
Dhanbad,195,195
Durg Bhilainagar,787,787
Faridabad,636,636
Ghaziabad,893,893
Goa,2847,2847
Gujarat,16349,16349
Gwalior,1230,1230
Haryana,11083,11083
Himachal Pradesh,2255,2255
Hyderabad,2943,2943
Indore,3566,3566
Jabalpur,2319,2319
Jaipur,2914,2914
Jammu and Kashmir,6300,6300
Jamshedpur,155,155
Jharkhand,5316,5316
Jodhpur,686,686
Kannur,1531,1531
Kanpur,1623,1623
Karnataka,43439,43439
Kerala,45981,45981
Kochi,2585,2585
Kolkata,1129,1129
Kollam,2096,2096
Kota,592,592
Kozhikode,2026,2026
Ladakh,289,289
Lakshadweep,1,1
Lucknow,1200,1200
Ludhiana,504,504
Madhya Pradesh,54763,54763
Madurai,768,768
Maharashtra,31347,31347
Malappuram,955,955
Manipur,398,398
Meerut,472,472
Meghalaya,232,232
Mizoram,47,47
Mumbai,414,414
Nagaland,35,35
Nagpur,1213,1213
Nasik,261,261
Odisha,11989,11989
Patna,322,322
Prayagraj,1297,1297
Puducherry,1308,1308
Pune,502,502
Punjab,6276,6276
Raipur,1077,1077
Rajasthan,24861,24861
Rajkot,494,494
Ranchi,263,263
Sikkim,174,174
Srinagar,476,476
Surat,650,650
Tamil Nadu,67213,67213
Telangana,22903,22903
Thiruvananthapuram,2106,2106
Thrissur,2444,2444
Tiruchirappalli,619,619
Total (All India),464029,464029
Total (Cities),69910,69910
Total (States),450026,450026
Total (UTs),14003,14003
Tripura,577,577
Uttar Pradesh,37764,37764
Uttarakhand,1691,1691
Vadodara,566,566
Varanasi,196,196
Vasai Virar,365,365
Vijayawada,1522,1522
Vishakhapatnam,1293,1293
West Bengal,10400,10400
