State,TimeDimension,Accidents,DataType,Period,DayNight,TimeOrder
Andhra Pradesh,00:00-03:00,991,TimeSlot,00:00-03:00,Night,0
Andhra Pradesh,03:00-06:00,1143,TimeSlot,03:00-06:00,Night,1
Andhra Pradesh,06:00-09:00,2256,TimeSlot,06:00-09:00,Day,2
Andhra Pradesh,09:00-12:00,2704,TimeSlot,09:00-12:00,Day,3
Andhra Pradesh,12:00-15:00,3058,TimeSlot,12:00-15:00,Day,4
Andhra Pradesh,15:00-18:00,3403,TimeSlot,15:00-18:00,Day,5
Andhra Pradesh,18:00-21:00,4255,TimeSlot,18:00-21:00,Night,6
Andhra Pradesh,21:00-24:00,2139,TimeSlot,21:00-24:00,Night,7
Arunachal Pradesh,00:00-03:00,18,TimeSlot,00:00-03:00,Night,0
Arunachal Pradesh,03:00-06:00,13,TimeSlot,03:00-06:00,Night,1
Arunachal Pradesh,06:00-09:00,23,TimeSlot,06:00-09:00,Day,2
Arunachal Pradesh,09:00-12:00,22,TimeSlot,09:00-12:00,Day,3
Arunachal Pradesh,12:00-15:00,36,TimeSlot,12:00-15:00,Day,4
Arunachal Pradesh,15:00-18:00,55,TimeSlot,15:00-18:00,Day,5
Arunachal Pradesh,18:00-21:00,46,TimeSlot,18:00-21:00,Night,6
Arunachal Pradesh,21:00-24:00,20,TimeSlot,21:00-24:00,Night,7
Assam,00:00-03:00,346,TimeSlot,00:00-03:00,Night,0
Assam,03:00-06:00,389,TimeSlot,03:00-06:00,Night,1
Assam,06:00-09:00,889,TimeSlot,06:00-09:00,Day,2
Assam,09:00-12:00,1025,TimeSlot,09:00-12:00,Day,3
Assam,12:00-15:00,1051,TimeSlot,12:00-15:00,Day,4
Assam,15:00-18:00,1327,TimeSlot,15:00-18:00,Day,5
Assam,18:00-21:00,1294,TimeSlot,18:00-21:00,Night,6
Assam,21:00-24:00,1100,TimeSlot,21:00-24:00,Night,7
Bihar,00:00-03:00,701,TimeSlot,00:00-03:00,Night,0
Bihar,03:00-06:00,937,TimeSlot,03:00-06:00,Night,1
Bihar,06:00-09:00,1674,TimeSlot,06:00-09:00,Day,2
