State,Month,MonthNum,Accidents
Andhra Pradesh,January,1,1707
Andhra Pradesh,February,2,1612
Andhra Pradesh,March,3,1689
Andhra Pradesh,April,4,1627
Andhra Pradesh,May,5,1951
Andhra Pradesh,June,6,1785
Andhra Pradesh,July,7,1636
Andhra Pradesh,August,8,1691
Andhra Pradesh,September,9,1598
Andhra Pradesh,October,10,1598
Andhra Pradesh,November,11,1573
Andhra Pradesh,December,12,1482
Arunachal Pradesh,January,1,20
Arunachal Pradesh,February,2,15
Arunachal Pradesh,March,3,17
Arunachal Pradesh,April,4,11
Arunachal Pradesh,May,5,17
Arunachal Pradesh,June,6,18
Arunachal Pradesh,July,7,20
Arunachal Pradesh,August,8,10
Arunachal Pradesh,September,9,21
Arunachal Pradesh,October,10,20
Arunachal Pradesh,November,11,29
Arunachal Pradesh,December,12,35
Assam,January,1,654
Assam,February,2,580
Assam,March,3,653
Assam,April,4,616
Assam,May,5,686
Assam,June,6,555
Assam,July,7,527
Assam,August,8,533
Assam,September,9,613
Assam,October,10,582
Assam,November,11,697
Assam,December,12,725
Bihar,January,1,804
Bihar,February,2,903
Bihar,March,3,959
Bihar,April,4,860
Bihar,May,5,1178
Bihar,June,6,1157
Bihar,July,7,895
Bihar,August,8,764
Bihar,September,9,772
Bihar,October,10,825
Bihar,November,11,855
Bihar,December,12,1042
Chhattisgarh,January,1,1397
Chhattisgarh,February,2,1184
Chhattisgarh,March,3,1093
Chhattisgarh,April,4,1143
Chhattisgarh,May,5,1242
Chhattisgarh,June,6,1097
Chhattisgarh,July,7,1050
Chhattisgarh,August,8,1074
Chhattisgarh,September,9,1008
Chhattisgarh,October,10,1087
Chhattisgarh,November,11,1006
Chhattisgarh,December,12,1088
Goa,January,1,273
Goa,February,2,232
Goa,March,3,246
Goa,April,4,233
Goa,May,5,261
Goa,June,6,231
Goa,July,7,209
Goa,August,8,235
Goa,September,9,224
Goa,October,10,224
Goa,November,11,201
Goa,December,12,278
Gujarat,January,1,1493
Gujarat,February,2,1436
Gujarat,March,3,1447
Gujarat,April,4,1408
Gujarat,May,5,1572
Gujarat,June,6,1310
Gujarat,July,7,1212
Gujarat,August,8,1155
Gujarat,September,9,1207
Gujarat,October,10,1385
Gujarat,November,11,1286
Gujarat,December,12,1438
Haryana,January,1,819
Haryana,February,2,893
Haryana,March,3,929
Haryana,April,4,955
Haryana,May,5,930
Haryana,June,6,897
Haryana,July,7,940
Haryana,August,8,836
Haryana,September,9,987
Haryana,October,10,983
Haryana,November,11,917
Haryana,December,12,997
Himachal Pradesh,January,1,172
