Sl. No.,State/Ut/,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,Andhra Pradesh,19949,20409,8137,1125,0,1143,4,0,4,21078,20409,9284
2,Arunachal Pradesh,233,218,136,0,0,0,1,0,1,234,218,137
3,Assam,7421,5917,3296,772,0,772,4,0,4,8197,5917,4072
4,Bihar,11014,6539,8873,1635,0,1696,0,0,0,12649,6539,10569
5,Chhattisgarh,13469,11724,6166,533,19,532,1,0,1,14003,11743,6699
6,Goa,2847,1180,292,44,2,43,0,0,0,2891,1182,335
7,Gujarat,16349,15383,7854,751,0,761,2,0,2,17102,15383,8617
8,Haryana,11083,8666,5401,1131,0,1131,3,0,3,12217,8666,6535
9,Himachal Pradesh,2255,3301,885,0,0,0,0,0,0,2255,3301,885
10,Jharkhand,5316,3586,4173,382,7,376,37,0,38,5735,3593,4587
11,Karnataka,43439,52547,12322,0,0,0,1,0,1,43440,52547,12323
12,Kerala,45981,54326,4080,208,1,211,203,0,204,46392,54327,4495
13,Madhya Pradesh,54763,54699,14098,1337,4,1334,375,0,375,56475,54703,15807
14,Maharashtra,31347,28212,15434,5559,2115,3445,0,0,0,36906,30327,18879
15,Manipur,398,636,73,0,0,0,0,0,0,398,636,73
16,Meghalaya,232,259,168,0,0,0,0,0,0,232,259,168
17,Mizoram,47,53,49,0,0,0,0,0,0,47,53,49
18,Nagaland,35,46,37,0,0,0,9,0,9,44,46,46
19,Odisha,11989,10367,5737,0,0,0,3,2,2,11992,10369,5739
20,Punjab,6276,3305,4906,987,78,917,0,0,0,7263,3383,5823
21,Rajasthan,24861,23268,11932,964,22,947,0,0,0,25825,23290,12879
22,Sikkim,174,376,68,0,0,0,0,0,0,174,376,68
23,Tamil Nadu,67213,72292,18347,2277,369,1931,1,1,1,69491,72662,20279
24,Telangana,22903,21022,7660,770,0,775,0,0,0,23673,21022,8435
25,Tripura,577,609,261,31,0,31,0,0,0,608,609,292
26,Uttar Pradesh,37764,23843,23947,3212,44,3149,1025,18,1007,42001,23905,28103
27,Uttarakhand,1691,1488,1054,59,0,59,8,0,8,1758,1488,1121
28,West Bengal,10400,8115,5703,2014,153,1863,805,224,581,13219,8492,8147
Total (States),Total (States),450026,432386,171089,23791,2814,21116,2482,245,2241,476299,435445,194446
29,Andaman and Nagar Islands,25,11,27,0,0,0,0,0,0,25,11,27
30,Chandigarh,182,171,67,0,0,0,0,0,0,182,171,67
31,Dadra and Nagar Haveli and Daman and Diu,183,216,81,0,0,0,0,0,0,183,216,81
32,Delhi,5715,4880,1457,827,200,627,1,0,1,6543,5080,2085
33,Jammu and Kashmir,6300,8416,897,51,0,51,0,0,0,6351,8416,948
34,Ladakh,289,310,59,0,0,0,0,0,0,289,310,59
35,Lakshadweep,1,1,0,0,0,0,0,0,0,1,1,0
36,Puducherry,1308,1578,149,9,0,9,0,0,0,1317,1578,158
Total (UTs),Total (UTs),14003,15583,2737,887,200,687,1,0,1,14891,15783,3425
Total (All India),Total (All India),464029,447969,173826,24678,3014,21803,2483,245,2242,491190,451228,197871
37,Agra,553,157,491,34,0,34,3,0,3,590,157,528
38,Ahmedabad,1767,1347,535,41,0,42,0,0,0,1808,1347,577
39,Amritsar,147,73,110,0,0,0,0,0,0,147,73,110
40,Asansol,401,173,339,5,0,5,0,0,0,406,173,344
41,Aurangabad,560,402,221,44,0,44,0,0,0,604,402,265
42,Bengaluru,4980,4162,915,0,0,0,0,0,0,4980,4162,915
43,Bhopal,2906,2196,196,42,0,42,20,0,20,2968,2196,258
44,Chandigarh (City),182,171,67,0,0,0,0,0,0,182,171,67
45,Chennai,3653,3958,503,0,0,0,0,0,0,3653,3958,503
46,Coimbatore,1161,993,305,0,0,0,0,0,0,1161,993,305
47,Delhi (City),5715,4880,1457,827,200,627,1,0,1,6543,5080,2085
48,Dhanbad,195,70,126,0,0,0,0,0,0,195,70,126
49,Durg Bhilainagar,787,649,137,20,0,20,0,0,0,807,649,157
50,Faridabad,636,485,307,0,0,0,0,0,0,636,485,307
51,Ghaziabad,893,661,368,35,0,35,0,0,0,928,661,403
52,Gwalior,1230,1138,170,0,0,0,37,0,37,1267,1138,207
53,Hyderabad,2943,2596,335,0,0,0,0,0,0,2943,2596,335
54,Indore,3566,2768,295,14,0,15,0,0,0,3580,2768,310
55,Jabalpur,2319,2606,268,0,0,0,31,0,31,2350,2606,299
56,Jaipur,2914,2333,848,168,0,169,0,0,0,3082,2333,1017
57,Jamshedpur,155,134,72,0,0,0,0,0,0,155,134,72
58,Jodhpur,686,573,257,13,0,13,0,0,0,699,573,270
59,Kannur,1531,2018,117,26,0,26,5,0,5,1562,2018,148
60,Kanpur,1623,985,638,0,0,0,153,0,153,1776,985,791
61,Kochi,2585,2788,177,0,0,0,25,0,25,2610,2788,202
62,Kolkata,1129,925,204,0,0,0,0,0,0,1129,925,204
63,Kollam,2096,2318,211,0,0,0,39,0,40,2135,2318,251
64,Kota,592,642,114,19,0,21,0,0,0,611,642,135
65,Kozhikode,2026,2265,172,18,1,19,1,0,1,2045,2266,192
66,Lucknow,1200,784,499,26,0,27,9,0,21,1235,784,547
67,Ludhiana,504,209,402,0,0,0,0,0,0,504,209,402
68,Madurai,768,583,264,0,0,0,0,0,0,768,583,264
69,Malappuram,955,1194,107,4,0,4,0,0,0,959,1194,111
70,Meerut,472,404,174,0,0,0,24,0,24,496,404,198
71,Mumbai,414,1924,414,0,0,0,0,0,0,414,1924,414
72,Nagpur,1213,1211,308,63,0,63,0,0,0,1276,1211,371
73,Nasik,261,150,261,0,0,0,0,0,0,261,150,261
74,Patna,322,166,200,0,0,0,0,0,0,322,166,200
75,Prayagraj,1297,865,582,0,0,0,0,0,0,1297,865,582
76,Pune,502,185,393,44,0,44,0,0,0,546,185,437
77,Raipur,1077,663,158,0,0,0,10,0,10,1087,663,168
78,Rajkot,494,380,178,11,0,11,0,0,0,505,380,189
79,Ranchi,263,192,117,0,0,0,0,0,0,263,192,117
80,Srinagar,476,491,55,0,0,0,0,0,0,476,491,55
81,Surat,650,461,309,35,0,35,0,0,0,685,461,344
82,Thiruvananthapuram,2106,2326,137,0,0,0,0,0,0,2106,2326,137
83,Thrissur,2444,3029,231,12,0,12,0,0,0,2456,3029,243
84,Tiruchirappalli,619,652,165,0,0,0,0,0,0,619,652,165
85,Vadodara,566,404,199,7,0,7,0,0,0,573,404,206
86,Varanasi,196,158,223,41,0,41,0,0,0,237,158,264
87,Vasai Virar,365,246,154,0,0,0,0,0,0,365,246,154
88,Vijayawada,1522,1416,373,0,0,0,0,0,0,1522,1416,373
89,Vishakhapatnam,1293,1222,322,0,0,0,4,0,4,1297,1222,326
Total (Cities),Total (Cities),69910,63781,16180,1549,201,1356,362,0,375,71821,63982,17911
